season,week,team_name_raw,team_abbr_raw,team_name_std,team_abbr_std,attendance
2024,12,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,77554
2024,13,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,69214
2024,14,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,63250
2024,15,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,69496
2024,16,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,93103
2024,17,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,64434
2024,18,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,63001
2024,1,Tennessee Titans,TEN,Tennessee Titans,TEN,59403
2024,2,Tennessee Titans,TEN,Tennessee Titans,TEN,65509
2024,3,Tennessee Titans,TEN,Tennessee Titans,TEN,67322
2024,4,Tennessee Titans,TEN,Tennessee Titans,TEN,65291
2024,6,Tennessee Titans,TEN,Tennessee Titans,TEN,64302
2024,7,Tennessee Titans,TEN,Tennessee Titans,TEN,70842
2024,8,Tennessee Titans,TEN,Tennessee Titans,TEN,64316
2024,9,Tennessee Titans,TEN,Tennessee Titans,TEN,66533
2024,10,Tennessee Titans,TEN,Tennessee Titans,TEN,68796
2024,11,Tennessee Titans,TEN,Tennessee Titans,TEN,67686
2024,12,Tennessee Titans,TEN,Tennessee Titans,TEN,71055
2024,13,Tennessee Titans,TEN,Tennessee Titans,TEN,63144
2024,14,Tennessee Titans,TEN,Tennessee Titans,TEN,61644
2024,15,Tennessee Titans,TEN,Tennessee Titans,TEN,63745
2024,16,Tennessee Titans,TEN,Tennessee Titans,TEN,65322
2024,17,Tennessee Titans,TEN,Tennessee Titans,TEN,61995
2024,18,Tennessee Titans,TEN,Tennessee Titans,TEN,61815
2024,1,Washington Commanders,WAS,Washington Commanders,WSH,63020
2024,2,Washington Commanders,WAS,Washington Commanders,WSH,61841
2024,3,Washington Commanders,WAS,Washington Commanders,WSH,66207
2024,4,Washington Commanders,WAS,Washington Commanders,WSH,63286
2024,5,Washington Commanders,WAS,Washington Commanders,WSH,59030
2024,6,Washington Commanders,WAS,Washington Commanders,WSH,71316
2024,7,Washington Commanders,WAS,Washington Commanders,WSH,63380
2024,8,Washington Commanders,WAS,Washington Commanders,WSH,64704
2024,9,Washington Commanders,WAS,Washington Commanders,WSH,77994
2024,10,Washington Commanders,WAS,Washington Commanders,WSH,66192
2024,11,Washington Commanders,WAS,Washington Commanders,WSH,69879
2024,12,Washington Commanders,WAS,Washington Commanders,WSH,64955
2024,13,Washington Commanders,WAS,Washington Commanders,WSH,63144
2024,15,Washington Commanders,WAS,Washington Commanders,WSH,70003
2024,16,Washington Commanders,WAS,Washington Commanders,WSH,64128
2024,17,Washington Commanders,WAS,Washington Commanders,WSH,63480
2024,18,Washington Commanders,WAS,Washington Commanders,WSH,91349
2025,1,Arizona Cardinals,ARI,Arizona Cardinals,ARI,70006
2025,2,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64003
2025,3,Arizona Cardinals,ARI,Arizona Cardinals,ARI,70414
2025,4,Arizona Cardinals,ARI,Arizona Cardinals,ARI,65016
2025,5,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64280
2025,6,Arizona Cardinals,ARI,Arizona Cardinals,ARI,65523
2025,7,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64810
2025,9,Arizona Cardinals,ARI,Arizona Cardinals,ARI,92211
2025,10,Arizona Cardinals,ARI,Arizona Cardinals,ARI,68723
2025,11,Arizona Cardinals,ARI,Arizona Cardinals,ARI,65032
2025,12,Arizona Cardinals,ARI,Arizona Cardinals,ARI,62413
2025,13,Arizona Cardinals,ARI,Arizona Cardinals,ARI,61103
2025,14,Arizona Cardinals,ARI,Arizona Cardinals,ARI,61970
2025,15,Arizona Cardinals,ARI,Arizona Cardinals,ARI,71086
2025,16,Arizona Cardinals,ARI,Arizona Cardinals,ARI,60673
2025,17,Arizona Cardinals,ARI,Arizona Cardinals,ARI,61402
2025,18,Arizona Cardinals,ARI,Arizona Cardinals,ARI,72004
2025,1,Atlanta Falcons,ATL,Atlanta Falcons,ATL,71610
2025,2,Atlanta Falcons,ATL,Atlanta Falcons,ATL,66859
2025,3,Atlanta Falcons,ATL,Atlanta Falcons,ATL,71129
2025,4,Atlanta Falcons,ATL,Atlanta Falcons,ATL,71492
2025,6,Atlanta Falcons,ATL,Atlanta Falcons,ATL,72067
2025,7,Atlanta Falcons,ATL,Atlanta Falcons,ATL,71217
2025,8,Atlanta Falcons,ATL,Atlanta Falcons,ATL,71344
2025,9,Atlanta Falcons,ATL,Atlanta Falcons,ATL,64628
2025,10,Atlanta Falcons,ATL,Atlanta Falcons,ATL,72203
2025,11,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70739
2025,12,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70005
2025,13,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70012
2025,14,Atlanta Falcons,ATL,Atlanta Falcons,ATL,68721
2025,15,Atlanta Falcons,ATL,Atlanta Falcons,ATL,64917
2025,16,Atlanta Falcons,ATL,Atlanta Falcons,ATL,60673
2025,17,Atlanta Falcons,ATL,Atlanta Falcons,ATL,69313
2025,18,Atlanta Falcons,ATL,Atlanta Falcons,ATL,69512
2025,1,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70745
2025,2,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70487
2025,3,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70642
2025,4,Baltimore Ravens,BAL,Baltimore Ravens,BAL,73552
2025,5,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70077
2025,6,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70055
2025,8,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70045
2025,9,Baltimore Ravens,BAL,Baltimore Ravens,BAL,66132
2025,10,Baltimore Ravens,BAL,Baltimore Ravens,BAL,66946
2025,11,Baltimore Ravens,BAL,Baltimore Ravens,BAL,64230
2025,12,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70029
2025,13,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70066
2025,14,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70544
2025,15,Baltimore Ravens,BAL,Baltimore Ravens,BAL,64907
2025,16,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70709
2025,17,Baltimore Ravens,BAL,Baltimore Ravens,BAL,77660
2025,18,Baltimore Ravens,BAL,Baltimore Ravens,BAL,65400
2025,1,Buffalo Bills,BUF,Buffalo Bills,BUF,70745
2025,2,Buffalo Bills,BUF,Buffalo Bills,BUF,80875
2025,3,Buffalo Bills,BUF,Buffalo Bills,BUF,70641
2025,4,Buffalo Bills,BUF,Buffalo Bills,BUF,71017
2025,5,Buffalo Bills,BUF,Buffalo Bills,BUF,70802
2025,6,Buffalo Bills,BUF,Buffalo Bills,BUF,72067
2025,8,Buffalo Bills,BUF,Buffalo Bills,BUF,73505
2025,9,Buffalo Bills,BUF,Buffalo Bills,BUF,71024
2025,10,Buffalo Bills,BUF,Buffalo Bills,BUF,66030
2025,11,Buffalo Bills,BUF,Buffalo Bills,BUF,71005
2025,12,Buffalo Bills,BUF,Buffalo Bills,BUF,70451
2025,13,Buffalo Bills,BUF,Buffalo Bills,BUF,66068
2025,14,Buffalo Bills,BUF,Buffalo Bills,BUF,70613
2025,15,Buffalo Bills,BUF,Buffalo Bills,BUF,64628
2025,16,Buffalo Bills,BUF,Buffalo Bills,BUF,67580
2025,17,Buffalo Bills,BUF,Buffalo Bills,BUF,71105
2025,18,Buffalo Bills,BUF,Buffalo Bills,BUF,70944
2025,1,Carolina Panthers,CAR,Carolina Panthers,CAR,59957
2025,2,Carolina Panthers,CAR,Carolina Panthers,CAR,64003
2025,3,Carolina Panthers,CAR,Carolina Panthers,CAR,71129
2025,4,Carolina Panthers,CAR,Carolina Panthers,CAR,64628
2025,5,Carolina Panthers,CAR,Carolina Panthers,CAR,72301
2025,6,Carolina Panthers,CAR,Carolina Panthers,CAR,71619
2025,7,Carolina Panthers,CAR,Carolina Panthers,CAR,71047
2025,8,Carolina Panthers,CAR,Carolina Panthers,CAR,73505
2025,9,Carolina Panthers,CAR,Carolina Panthers,CAR,77864
2025,10,Carolina Panthers,CAR,Carolina Panthers,CAR,72804
2025,11,Carolina Panthers,CAR,Carolina Panthers,CAR,70739
2025,12,Carolina Panthers,CAR,Carolina Panthers,CAR,71337
2025,13,Carolina Panthers,CAR,Carolina Panthers,CAR,71292
2025,15,Carolina Panthers,CAR,Carolina Panthers,CAR,70070
2025,16,Carolina Panthers,CAR,Carolina Panthers,CAR,73530
2025,17,Carolina Panthers,CAR,Carolina Panthers,CAR,73163
2025,18,Carolina Panthers,CAR,Carolina Panthers,CAR,65082
2025,1,Chicago Bears,CHI,Chicago Bears,CHI,58742
2025,2,Chicago Bears,CHI,Chicago Bears,CHI,64201
2025,3,Chicago Bears,CHI,Chicago Bears,CHI,58389
2025,4,Chicago Bears,CHI,Chicago Bears,CHI,62642
2025,6,Chicago Bears,CHI,Chicago Bears,CHI,64457
2025,7,Chicago Bears,CHI,Chicago Bears,CHI,58102
2025,8,Chicago Bears,CHI,Chicago Bears,CHI,70045
2025,9,Chicago Bears,CHI,Chicago Bears,CHI,66264
2025,10,Chicago Bears,CHI,Chicago Bears,CHI,58884
2025,11,Chicago Bears,CHI,Chicago Bears,CHI,66952
2025,12,Chicago Bears,CHI,Chicago Bears,CHI,59658
2025,14,Chicago Bears,CHI,Chicago Bears,CHI,78214
2025,15,Chicago Bears,CHI,Chicago Bears,CHI,54051
2025,16,Chicago Bears,CHI,Chicago Bears,CHI,60152
2025,17,Chicago Bears,CHI,Chicago Bears,CHI,71836
2025,18,Chicago Bears,CHI,Chicago Bears,CHI,57036
2025,1,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,65599
2025,2,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,65871
2025,3,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,66792
2025,4,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,76489
2025,5,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,66115
2025,6,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,78277
2025,7,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,66569
2025,8,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,65526
2025,9,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,66264
2025,11,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,66132
2025,12,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,65659
2025,13,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,70066
2025,14,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,70613
2025,15,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,64907
2025,16,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,65885
2025,17,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,61402
2025,18,Cincinnati Bengals,CIN,Cincinnati Bengals,CIN,62230
2025,1,Cleveland Browns,CLE,Cleveland Browns,CLE,65599
2025,2,Cleveland Browns,CLE,Cleveland Browns,CLE,70487
2025,3,Cleveland Browns,CLE,Cleveland Browns,CLE,65470
2025,4,Cleveland Browns,CLE,Cleveland Browns,CLE,64494
2025,5,Cleveland Browns,CLE,Cleveland Browns,CLE,61082
2025,6,Cleveland Browns,CLE,Cleveland Browns,CLE,66738
2025,7,Cleveland Browns,CLE,Cleveland Browns,CLE,63762
2025,8,Cleveland Browns,CLE,Cleveland Browns,CLE,64628
2025,10,Cleveland Browns,CLE,Cleveland Browns,CLE,72623
2025,11,Cleveland Browns,CLE,Cleveland Browns,CLE,64230
2025,12,Cleveland Browns,CLE,Cleveland Browns,CLE,62244
